latency_p99_ms,error_rate_percent,requests_per_second,latency_ratio,concurrent_requests
168.31,0.97,21.15,1.59,2
107.81,0.53,15.53,2.4,2
126.57,1.84,44.67,1.27,2
92.39,1.94,33.51,1.69,2
149.44,1.14,21.95,1.88,1
142.0,0.75,45.83,2.13,2
178.07,0.69,40.67,2.8,1
140.22,0.28,12.45,1.34,2
105.38,0.37,21.3,2.49,1
159.33,0.83,19.86,1.4,2
137.48,1.18,34.13,1.94,1
85.18,1.15,12.25,2.33,1
186.9,0.29,12.49,2.86,2
151.92,1.13,5.84,2.5,2
193.67,0.43,32.29,2.05,2
100.47,1.66,32.04,2.63,1
154.79,1.02,12.55,2.43,2
151.58,0.14,22.02,1.44,1
104.28,1.72,27.7,1.96,1
152.66,0.35,45.57,2.28,1
91.18,1.32,45.59,2.17,1
187.64,1.55,34.22,2.14,2
184.98,1.4,24.3,2.89,2
174.75,0.76,31.51,2.53,1
131.06,0.51,39.46,2.84,1
113.99,1.75,23.39,1.54,1
149.36,0.24,5.32,2.38,2
129.06,0.21,24.17,2.25,2
182.6,0.85,21.45,1.7,2
170.6,0.83,40.27,2.07,2
147.09,0.97,49.48,2.24,2
168.29,1.71,34.67,2.55,2
173.97,1.9,9.51,2.12,2
176.1,1.23,35.81,1.29,2
195.75,0.01,9.1,1.46,2
90.58,0.53,21.69,2.3,2
191.68,0.8,34.53,1.72,1
193.49,1.64,33.81,1.99,1
182.07,1.86,28.32,1.55,1
153.82,1.35,21.19,2.38,1
90.42,0.55,22.97,2.41,2
150.33,1.04,38.16,1.32,1
145.95,1.45,30.16,2.25,2
195.59,0.55,32.29,1.55,2
148.99,0.52,23.32,1.39,1
140.38,0.68,10.27,2.12,2
185.13,1.63,30.87,2.45,2
147.58,1.54,39.09,2.93,2
161.79,1.79,43.79,2.07,2
88.11,1.27,49.74,2.42,1
176.02,0.82,20.89,2.16,2
109.79,0.19,35.32,2.68,1
146.55,0.36,19.12,1.59,2
101.93,1.49,46.86,1.54,1
108.18,0.48,16.94,1.61,1
180.36,0.71,40.05,1.42,1
161.1,1.33,32.62,2.58,1
181.76,0.74,19.19,2.82,2
138.9,1.97,46.22,1.7,1
170.02,0.26,28.66,1.96,1
140.3,0.79,35.89,1.51,1
163.79,0.92,36.01,1.22,1
125.53,0.2,21.27,2.75,1
145.83,0.47,26.21,2.3,2
102.07,0.85,23.86,2.55,2
182.52,0.56,13.1,1.44,1
177.7,1.44,41.18,2.2,2
103.53,1.6,38.23,2.05,1
101.19,1.0,49.8,2.73,2
174.24,0.6,30.3,2.22,2
91.88,0.33,14.7,1.66,1
133.98,0.67,21.24,2.21,2
121.3,0.82,20.8,2.42,1
149.22,1.3,29.23,2.96,2
122.61,1.35,26.94,2.53,1
125.73,0.57,33.43,1.46,1
156.87,1.86,23.98,2.3,2
181.87,0.14,12.29,1.61,2
158.36,1.42,32.24,1.91,2
173.72,1.88,38.66,2.14,2
129.68,0.37,6.04,2.51,2
192.85,1.4,8.6,1.5,1
91.47,1.87,26.29,1.3,2
142.88,1.99,9.68,2.31,1
158.58,1.77,18.92,1.65,2
133.18,0.25,28.7,1.51,1
159.63,1.72,19.63,2.06,2
145.83,0.27,47.68,2.17,2
155.73,1.27,30.38,2.14,2
189.07,0.96,15.22,1.36,2
123.89,0.52,18.66,1.2,1
121.27,0.94,5.37,2.86,2
115.95,1.53,40.91,2.27,1
145.79,0.38,44.7,1.99,1
99.59,1.47,22.54,1.88,2
89.51,1.25,28.25,2.64,2
114.16,1.49,41.4,1.94,1
101.89,0.58,33.66,2.31,2
164.06,0.98,19.43,1.47,1
102.31,0.2,17.11,2.49,1
107.94,0.3,27.21,1.82,2
174.29,1.0,21.71,2.45,1
119.63,1.69,47.82,1.3,2
88.57,0.94,13.65,2.71,2
179.39,0.24,39.57,1.65,2
109.66,1.99,13.96,2.52,1
142.54,1.96,26.28,2.43,2
192.35,0.32,37.77,2.54,1
110.4,1.28,13.94,2.8,1
196.79,0.47,24.54,1.23,2
150.16,0.79,15.94,2.94,2
162.61,0.31,39.69,1.65,2
90.97,1.24,46.89,2.99,1
87.17,1.29,36.56,2.62,1
138.54,0.63,30.13,2.36,2
176.66,0.88,13.68,2.44,2
166.93,0.5,6.78,2.47,2
145.13,0.98,30.5,2.18,2
167.89,0.55,42.41,2.85,1
88.27,0.31,18.31,1.67,2
134.49,1.55,27.77,2.52,1
154.37,0.73,32.91,1.78,1
158.99,1.08,22.44,2.14,2
171.89,0.31,17.74,1.94,2
93.26,1.05,8.0,2.7,1
101.44,0.06,9.82,1.54,1
148.52,1.67,34.61,2.15,2
85.89,0.44,37.3,1.22,1
158.69,1.86,42.44,2.04,1
123.31,1.49,45.07,2.68,1
178.84,0.53,6.83,1.33,2
89.35,0.43,28.38,1.38,1
143.8,0.38,28.68,1.65,1
147.01,1.12,38.57,2.58,2
160.94,1.41,24.22,1.39,1
146.0,1.01,34.59,2.16,2
192.02,1.8,29.75,2.99,2
129.48,1.27,42.18,1.78,1
147.58,0.43,39.46,2.87,2
123.2,0.9,48.19,1.2,1
197.95,1.19,28.29,2.99,2
80.79,1.97,14.67,1.77,2
190.29,1.02,30.68,2.23,1
84.53,0.71,11.23,1.86,1
107.96,1.62,9.14,1.92,1
168.11,1.45,40.68,1.51,1
151.43,0.6,37.89,2.24,1
173.61,1.84,20.05,2.78,2
129.98,1.74,44.14,1.61,1
156.07,1.26,7.44,2.14,2
144.79,0.3,27.61,1.6,1
160.84,1.99,48.7,2.56,1
106.65,0.58,22.74,1.44,1
137.1,1.49,29.67,1.67,2
140.22,1.55,10.87,1.44,1
138.54,1.3,13.82,2.31,1
109.08,0.53,24.35,2.43,1
93.5,0.83,21.44,1.54,2
151.27,0.05,18.72,2.98,2
154.78,0.88,46.59,1.62,2
98.72,1.46,8.86,2.53,1
193.87,1.85,44.09,2.68,1
121.19,1.61,18.73,2.05,2
105.08,1.08,14.17,2.14,2
145.86,1.25,49.65,2.45,1
125.19,1.81,28.71,1.66,1
114.08,1.58,32.81,1.3,1
87.99,1.32,34.83,2.84,2
183.71,0.04,44.03,2.37,1
197.58,1.02,36.94,2.83,2
184.01,1.06,13.39,2.1,2
147.28,1.42,6.79,2.86,2
120.03,0.79,12.07,1.82,2
122.65,0.6,49.82,2.96,2
177.43,1.25,44.54,2.8,1
193.3,1.9,15.15,1.82,2
158.83,0.18,22.2,2.93,1
130.08,1.15,24.19,1.76,2
133.9,0.26,34.36,2.25,1
183.51,0.62,36.73,2.14,1
131.61,1.82,39.65,2.38,1
118.1,1.11,47.69,1.41,2
180.74,0.29,6.33,1.77,2
195.34,0.61,38.55,2.68,2
98.23,0.38,10.92,1.25,2
152.67,1.22,31.84,1.62,1
123.11,1.38,26.45,2.1,2
165.44,0.75,43.35,2.08,1
99.65,0.45,23.39,2.94,2
194.02,0.45,35.21,1.57,1
87.94,1.85,49.35,2.76,2
162.54,1.73,44.94,1.97,1
152.95,1.65,37.41,1.91,1
142.48,0.9,42.22,1.28,1
142.24,0.79,38.08,2.2,1
102.78,0.88,44.8,2.59,2
135.36,0.84,32.59,1.3,1
135.63,1.29,9.07,2.1,1
173.45,1.88,36.33,1.44,2
118.82,0.05,25.42,2.81,1
185.91,0.18,19.58,2.37,1
166.2,0.25,10.14,2.01,2
90.24,1.41,37.71,2.96,1
125.44,0.76,39.57,2.84,1
99.45,0.29,39.61,1.29,2
117.14,1.54,25.08,2.33,1
187.83,1.92,5.16,2.58,1
135.04,1.71,29.46,1.21,2
108.55,1.18,26.41,1.94,1
152.15,0.01,44.7,1.7,1
85.87,0.3,34.4,1.27,1
160.04,1.68,18.43,2.86,1
93.07,1.99,12.26,1.71,1
195.96,1.5,21.21,1.26,2
118.74,1.8,41.91,2.57,1
115.14,0.27,36.26,1.69,2
142.96,1.39,32.54,1.4,1
138.04,1.38,47.03,2.98,2
131.25,1.7,16.68,2.24,2
191.25,1.23,27.34,2.51,2
139.1,0.36,32.42,2.48,1
80.19,0.05,33.15,1.41,1
175.95,2.0,23.63,1.8,1
81.36,0.4,17.67,2.62,2
116.03,1.1,39.52,1.4,2
120.96,1.45,32.72,1.25,1
103.28,1.67,46.5,2.06,2
175.67,1.29,26.67,2.33,2
135.5,1.63,46.75,1.3,2
147.79,1.36,29.98,1.23,2
175.94,1.78,20.91,2.95,2
180.89,0.68,21.89,2.16,1
148.52,0.78,31.78,2.76,2
164.63,0.63,6.42,1.94,2
185.25,0.74,42.33,1.74,2
101.0,0.75,6.68,1.56,1
133.25,0.05,26.72,2.1,1
120.81,0.97,44.32,1.76,2
97.2,1.74,42.0,2.89,1
104.62,0.07,22.44,2.76,1
80.49,1.86,35.92,2.27,1
119.99,1.78,9.64,2.58,2
82.7,1.52,33.75,1.58,1
103.11,0.55,19.36,1.99,1
112.72,0.31,10.15,2.92,1
104.79,0.7,19.33,1.45,2
148.89,0.34,19.01,2.81,2
86.09,0.06,45.65,1.29,2
86.46,0.85,13.05,2.27,2
153.96,0.62,41.78,2.48,1
196.84,1.51,25.96,1.44,2
91.67,0.62,34.0,2.58,2
107.8,0.45,43.75,2.31,2
127.05,1.4,34.93,2.62,2
134.39,0.06,26.39,1.83,2
181.49,0.56,20.69,2.23,1
128.68,1.43,9.81,2.2,1
175.09,1.07,23.04,1.94,1
145.75,1.95,22.27,1.81,2
174.12,0.87,40.43,2.18,1
100.77,1.34,38.27,2.48,2
93.72,1.19,19.64,1.38,2
101.14,1.91,8.13,1.4,2
119.29,1.29,7.77,1.59,1
186.47,1.81,33.63,1.2,1
159.31,0.91,18.12,2.31,2
103.48,1.36,19.25,2.23,2
190.22,1.87,37.3,2.85,1
149.93,1.22,27.97,2.73,2
87.49,1.8,48.56,1.2,2
93.16,0.56,6.4,1.98,2
155.03,1.42,23.27,1.98,1
159.5,0.95,13.47,1.89,2
180.8,0.31,49.89,2.41,1
81.39,1.3,11.48,2.79,2
197.0,0.27,11.17,2.65,2
187.23,1.39,46.86,2.32,2
141.13,1.1,25.25,1.84,1
130.97,0.01,27.42,2.52,2
129.3,1.09,21.51,2.96,2
164.59,0.23,26.67,2.44,1
167.62,1.05,43.67,2.55,2
135.79,0.16,45.05,1.36,2
155.68,1.33,35.09,2.43,2
153.56,1.81,29.08,1.22,2
141.52,0.94,38.02,1.96,2
114.71,0.07,46.53,2.55,2
87.37,0.95,12.61,1.29,2
177.07,1.25,17.91,1.35,1
182.17,0.56,10.96,1.71,2
81.7,0.22,12.86,2.27,1
159.1,0.74,12.89,2.61,1
138.19,1.6,43.79,1.82,1
196.08,1.19,41.98,2.71,2
172.44,0.48,24.81,2.35,1
149.33,1.68,7.44,1.68,1
86.3,0.93,26.43,2.06,1
125.58,1.41,26.36,1.46,2
81.42,1.85,25.2,2.42,1
91.68,1.06,20.92,2.72,2
120.2,0.53,9.42,2.38,2
135.33,1.35,15.88,2.41,1
142.39,1.36,49.69,1.76,1
160.74,1.66,5.54,1.38,1
162.26,0.7,37.64,1.65,1
82.84,0.18,47.23,2.38,1
194.06,1.28,36.86,1.42,1
125.12,1.53,34.16,2.65,1
187.52,1.39,16.4,2.04,1
156.65,1.85,17.44,1.97,2
110.88,1.56,17.48,1.31,2
119.92,0.12,48.0,1.68,2
88.33,1.96,14.03,1.91,2
93.01,1.08,24.41,2.31,1
189.51,1.43,9.65,1.33,2
173.27,0.04,27.4,2.38,1
191.95,1.33,16.99,2.46,2
148.96,1.03,47.3,2.08,2
128.47,1.46,41.55,1.33,1
80.4,1.91,41.81,2.07,2
120.01,0.61,7.48,2.99,1
123.84,1.71,20.3,2.71,2
157.74,0.35,6.77,1.89,1
115.86,0.78,9.8,2.44,2
90.18,1.27,38.09,1.45,1
83.04,1.99,15.73,1.9,2
139.96,1.93,41.53,2.94,1
84.45,0.11,40.45,1.28,1
105.4,1.31,28.54,2.89,1
168.93,0.47,8.24,2.52,2
158.46,0.94,46.31,1.28,1
81.72,1.27,45.71,2.68,1
134.74,0.34,31.6,2.67,1
93.7,1.19,32.7,1.31,1
131.15,1.62,49.2,2.42,2
94.5,1.37,29.56,1.78,1
171.71,1.19,20.1,1.42,1
170.91,0.34,21.65,1.5,1
191.08,0.08,9.5,2.73,2
173.32,0.03,26.91,1.21,1
191.14,1.41,31.72,1.71,2
163.08,0.41,33.79,2.14,2
108.71,0.35,36.13,2.27,2
153.45,0.18,42.19,1.74,2
80.55,0.47,10.29,2.15,1
154.27,1.73,49.41,2.11,2
172.44,1.32,17.44,1.55,1
162.23,1.94,26.35,1.52,1
86.48,0.73,14.43,1.65,2
85.2,1.48,46.62,1.52,1
138.21,0.23,45.28,2.5,2
130.29,1.49,45.43,1.61,1
119.14,0.2,38.2,2.77,2
186.96,0.15,31.33,1.3,2
97.39,1.86,25.47,1.9,1
134.93,0.39,21.14,1.69,2
95.27,1.38,7.68,1.45,2
135.03,0.34,20.46,2.8,1
174.75,1.28,32.52,1.51,1
90.38,1.71,27.01,2.99,2
180.44,0.56,37.85,2.53,1
109.74,0.87,15.01,2.87,1
189.65,1.8,23.8,1.28,2
168.02,1.01,24.16,1.91,1
134.29,0.48,30.13,1.22,2
193.99,0.27,18.31,2.37,1
81.91,1.34,12.28,2.03,1
197.17,0.93,11.24,2.47,1
174.78,0.74,25.89,2.34,1
126.19,1.38,28.89,1.73,2
163.77,1.23,30.89,1.57,1
154.45,0.67,46.95,2.13,2
186.56,0.22,21.45,2.31,2
123.97,1.3,36.72,2.21,1
96.61,0.67,29.28,2.37,1
170.38,1.52,19.42,2.82,2
113.26,0.13,20.54,2.08,1
136.42,1.06,42.14,2.82,2
154.51,1.6,47.54,2.66,1
102.6,1.77,8.93,1.9,1
114.6,1.91,9.92,1.7,1
139.56,1.75,28.43,2.33,2
129.98,1.36,46.93,2.05,2
133.26,1.29,18.12,1.31,1
180.19,1.04,20.11,2.24,2
138.34,1.33,28.86,2.19,2
116.49,0.26,40.52,1.51,2
107.21,0.74,17.97,2.72,1
122.37,0.91,12.49,2.86,2
101.87,0.35,36.87,2.83,1
99.35,0.23,49.72,2.23,2
111.25,0.37,30.31,1.26,2
197.36,0.3,25.18,2.96,2
94.58,0.05,46.9,2.58,2
191.34,0.31,48.66,2.18,2
157.67,0.59,45.32,2.95,1
175.95,1.46,46.5,1.81,1
167.8,1.8,11.27,2.19,2
82.98,1.24,14.92,1.84,2
86.6,1.28,31.25,1.6,2
103.49,0.17,43.23,2.42,1
197.1,0.79,27.07,2.29,1
189.01,0.72,11.66,2.74,2
126.33,0.02,20.52,1.75,2
184.92,0.18,37.75,2.0,2
176.44,0.58,41.26,2.95,2
167.43,0.83,42.6,2.28,1
104.93,0.95,44.04,2.98,1
191.98,1.18,21.91,1.21,2
129.74,1.11,36.96,2.56,1
103.91,1.66,18.03,2.08,2
180.15,0.61,30.17,2.03,1
174.95,0.31,18.51,2.35,2
94.9,1.33,17.95,1.52,1
83.41,1.53,27.19,2.95,2
149.73,1.13,44.08,2.33,2
196.91,1.64,21.79,2.52,1
181.43,0.33,7.63,1.78,1
122.89,0.11,21.25,2.35,2
85.85,0.58,33.75,1.34,1
171.97,0.37,9.25,2.55,2
184.69,1.65,35.82,1.74,2
91.5,1.16,42.05,1.22,2
124.76,0.97,20.31,2.84,1
106.15,1.01,42.42,2.63,1
130.08,1.83,10.25,1.44,1
137.54,0.62,21.32,2.67,2
100.66,0.61,38.5,1.41,1
182.82,0.28,15.2,1.43,1
197.73,0.85,39.34,1.4,1
172.96,1.51,6.91,1.39,1
136.29,1.82,6.95,1.74,1
170.55,1.56,46.4,1.57,1
102.17,0.7,9.09,2.72,2
193.85,0.7,12.23,2.1,1
140.59,0.14,41.88,2.57,1
165.9,1.93,12.73,2.56,1
196.83,0.2,14.63,2.11,2
123.98,1.18,24.78,2.92,1
180.17,1.96,24.08,2.13,2
93.54,1.97,10.56,1.4,1
139.5,0.72,17.97,2.5,1
119.37,0.23,17.76,2.28,2
162.45,1.68,15.16,1.93,2
102.65,0.14,42.85,2.06,2
101.52,2.0,27.12,1.39,2
142.72,1.35,10.36,1.91,1
168.97,1.78,12.59,1.85,1
120.64,1.19,49.58,1.42,2
167.02,0.56,37.11,2.25,2
170.76,1.6,47.45,1.84,2
198.5,1.02,11.63,2.02,1
110.08,0.99,33.28,1.44,1
168.54,1.66,27.42,1.25,1
125.92,1.36,11.87,2.32,1
171.22,1.32,28.4,2.09,2
104.23,1.32,27.06,1.67,2
177.14,1.08,5.8,2.58,2
185.62,0.24,25.26,2.74,2
135.16,0.07,30.05,2.75,2
186.16,0.33,24.38,1.76,2
138.49,0.22,35.38,2.39,2
137.11,1.71,27.8,1.9,2
150.93,0.76,35.44,2.58,2
118.46,0.06,7.03,2.71,2
177.15,1.17,39.43,2.33,2
91.68,0.69,21.08,1.83,1
109.71,1.3,31.66,2.84,1
184.27,0.23,12.64,2.17,1
135.31,1.73,30.56,2.82,2
82.45,0.94,6.0,1.77,2
118.69,0.2,26.98,2.44,1
120.32,1.01,39.42,1.81,2
123.6,0.87,27.36,2.73,1
180.85,1.07,17.93,1.29,2
176.55,1.25,48.11,2.49,1
151.02,0.55,30.49,2.16,2
105.17,1.59,34.32,1.74,2
131.95,1.08,14.0,1.92,2
160.59,1.1,44.64,2.33,1
149.22,0.43,48.3,2.54,2
112.15,1.28,41.4,2.73,2
192.16,1.45,7.69,1.56,2
97.73,0.3,35.84,1.74,2
129.23,1.72,46.0,2.34,2
112.03,0.57,12.23,2.44,1
128.7,0.23,13.64,1.64,2
135.7,1.12,24.63,2.36,1
104.24,0.55,6.31,2.62,2
159.04,0.35,43.36,2.93,2
173.87,0.11,45.34,1.77,2
184.06,1.8,23.32,1.85,1
127.63,1.68,42.92,1.62,1
142.63,1.66,47.74,2.88,2
139.57,0.18,31.99,2.59,2
119.51,1.17,22.55,2.55,1
192.26,0.44,9.81,1.59,2
132.74,0.51,31.53,2.08,2
163.95,0.23,29.56,2.05,1
195.6,1.76,47.16,1.85,2
178.56,0.04,48.51,2.29,1
162.88,1.58,15.79,2.19,2
156.67,1.4,45.64,2.43,1
182.92,0.78,45.94,1.91,2
116.11,1.87,39.05,1.74,1
189.91,1.26,44.58,2.58,2
174.72,0.55,8.6,2.6,2
136.53,0.83,42.85,2.49,1
178.93,1.4,27.79,1.83,2
134.39,0.05,7.34,2.35,2
174.92,0.27,23.03,2.33,2
149.1,0.22,16.23,2.48,1
181.64,1.37,40.67,1.77,2
184.82,0.27,12.81,2.27,2
175.94,0.4,23.65,1.53,2
193.37,1.77,15.1,2.91,1
188.82,1.95,13.92,2.46,1
85.97,1.24,32.02,1.47,2
100.41,1.13,5.64,2.15,2
179.27,0.99,15.1,1.57,2
114.56,0.99,10.86,2.74,1
199.42,0.57,35.47,1.95,2
175.1,0.06,48.93,1.62,2
188.88,0.74,35.79,2.02,1
136.27,1.74,48.85,1.92,1
165.6,1.42,38.12,1.66,1
146.84,0.1,46.9,2.05,2
199.61,1.88,48.52,2.28,1
80.64,1.01,22.14,2.96,2
95.87,1.78,6.85,1.52,1
140.45,1.86,44.51,1.44,2
165.23,0.87,16.72,1.76,1
139.91,1.95,17.65,1.85,2
113.95,1.75,32.58,2.57,2
142.04,0.87,12.42,2.53,2
171.64,0.3,43.39,2.38,2
86.39,0.3,15.34,1.26,2
99.63,0.93,10.22,2.81,2
84.9,0.71,36.91,2.07,2
93.5,1.44,11.66,1.83,1
184.18,0.36,12.57,2.12,2
147.59,1.33,14.56,3.0,1
143.12,1.14,23.74,1.34,2
161.23,1.77,6.17,2.43,1
127.3,1.18,47.8,2.71,1
83.46,0.92,36.85,2.06,2
151.3,0.01,48.64,2.38,2
118.99,1.46,38.04,2.92,1
105.36,0.1,33.96,1.78,1
169.26,1.09,32.1,1.37,2
101.36,1.93,43.95,1.36,1
99.55,1.56,17.82,2.55,1
94.47,0.98,24.46,2.65,2
188.45,1.21,21.16,1.37,2
141.52,0.98,44.84,2.06,2
90.83,0.85,21.57,1.54,2
91.15,1.03,48.8,2.42,1
191.68,1.05,34.13,1.35,2
132.48,1.81,26.49,1.47,1
162.12,0.6,16.19,1.97,1
146.12,1.83,28.1,2.12,2
91.34,1.32,30.58,1.66,2
150.27,1.54,5.73,2.53,2
101.55,0.36,22.68,1.35,2
117.67,1.45,39.08,2.01,2
120.96,1.84,41.45,1.58,1
169.64,1.21,44.22,1.39,1
80.7,0.23,12.73,2.06,2
184.25,1.93,32.08,2.08,2
162.88,1.93,35.38,2.65,1
95.01,0.03,10.04,1.23,1
183.08,0.42,34.19,2.37,2
181.05,1.72,29.24,1.35,2
97.78,0.84,10.24,2.82,2
195.66,0.94,43.69,2.25,1
115.38,1.66,22.63,1.8,1
155.65,1.43,49.08,2.73,2
84.44,0.8,28.1,2.5,2
107.83,0.12,5.86,2.24,1
112.14,1.3,45.01,1.41,2
133.8,0.87,12.26,2.51,2
121.26,0.46,14.89,2.84,2
190.61,1.71,37.18,2.04,2
166.76,0.78,23.76,2.89,2
175.52,1.6,43.0,2.32,2
162.88,0.17,26.73,1.51,1
152.69,0.2,23.72,2.99,2
108.17,1.11,49.97,1.85,2
122.85,0.32,42.26,2.81,1
176.82,0.68,10.13,1.61,1
138.36,1.99,40.32,2.58,2
187.56,1.71,44.32,2.29,1
164.77,1.85,24.7,2.02,1
196.96,1.56,32.43,2.75,1
178.83,0.08,9.74,2.33,1
189.32,0.31,18.15,1.99,2
167.91,0.2,34.12,1.8,1
94.76,0.4,48.63,2.58,1
109.44,1.62,20.36,2.11,1
111.92,1.43,23.68,2.33,1
98.19,1.51,23.98,1.61,2
129.61,0.82,25.64,2.73,2
193.25,0.89,39.66,2.49,1
90.17,0.63,49.19,1.5,1
127.19,0.07,46.51,1.47,1
197.33,1.96,40.96,2.78,2
130.32,1.77,36.54,2.77,2
189.11,0.02,17.59,2.15,1
164.04,0.89,14.23,2.18,2
163.7,1.78,40.17,1.93,1
185.72,0.17,29.18,1.9,1
142.46,1.08,14.62,2.12,2
142.56,1.51,12.2,1.25,2
108.96,1.55,37.69,2.98,1
167.84,1.68,16.69,2.11,1
85.73,1.3,10.61,1.74,1
134.38,1.97,41.24,2.98,1
122.04,0.57,40.32,2.49,1
165.72,1.04,16.14,1.79,1
178.74,0.72,9.41,2.48,2
89.83,0.12,44.98,2.06,2
89.37,1.35,23.12,2.21,2
184.64,1.17,33.64,2.99,2
167.81,0.83,12.33,2.11,2
165.34,0.26,36.7,2.75,1
163.34,0.91,6.47,1.48,2
190.6,0.24,43.35,1.4,2
148.61,0.08,11.9,1.87,2
116.39,0.97,40.6,1.46,2
85.84,1.79,45.01,1.59,2
80.25,1.1,8.04,1.28,2
148.77,1.13,45.51,2.61,2
180.14,1.67,10.98,1.45,2
171.4,1.33,11.7,2.51,1
175.98,1.33,23.43,1.62,2
120.68,0.09,35.17,2.0,2
157.51,1.73,36.82,2.23,2
147.33,0.25,30.17,1.55,1
194.88,1.04,38.78,2.1,1
94.43,1.87,13.09,1.23,1
109.43,1.41,44.94,2.0,2
128.22,0.09,43.79,1.24,2
101.66,0.05,28.76,1.89,1
93.76,0.2,12.57,1.46,2
172.2,0.31,47.85,2.42,1
153.74,0.65,6.22,1.31,2
91.85,0.28,45.19,1.66,1
86.23,0.48,31.87,1.63,2
193.92,0.54,19.33,2.2,1
138.1,0.81,15.52,2.8,2
146.49,1.17,9.57,2.57,1
116.55,0.81,8.78,2.34,1
173.95,0.28,29.32,1.5,1
144.5,0.85,46.02,2.01,1
177.52,1.92,32.93,2.38,1
80.07,1.87,26.7,2.28,2
199.91,1.68,14.57,2.71,2
85.46,1.48,30.34,1.74,2
163.81,1.66,37.63,3.0,2
105.3,1.01,41.09,2.79,2
156.22,1.96,36.85,1.69,2
121.0,0.92,31.98,1.23,1
157.57,0.0,26.44,2.82,1
129.58,1.79,36.65,2.57,1
174.48,1.3,8.49,1.26,2
160.67,0.71,41.58,2.69,2
126.41,1.68,41.53,2.97,1
135.52,1.87,25.01,1.6,1
171.01,1.36,36.91,1.54,2
177.01,0.44,49.11,2.94,1
113.69,1.81,36.81,1.58,1
198.11,1.28,9.99,1.7,2
100.46,0.39,38.25,2.41,1
87.84,0.26,7.93,1.67,1
185.72,1.46,17.34,2.73,1
199.03,1.39,28.98,1.66,2
80.23,0.85,35.29,2.37,2
131.91,1.99,17.33,2.42,2
139.47,1.03,6.96,2.5,1
113.35,0.84,25.2,1.21,1
120.16,1.76,41.35,2.98,1
197.37,0.85,8.35,1.65,1
119.51,0.13,33.14,1.25,2
176.97,1.19,33.18,1.8,2
109.66,0.95,48.15,2.7,2
142.36,0.47,8.28,2.28,2
171.69,1.25,31.05,1.35,1
190.01,0.75,45.05,2.45,1
87.44,1.6,7.47,2.3,2
87.89,1.36,30.17,1.73,2
128.2,1.23,23.5,2.76,1
134.41,0.93,24.26,2.32,1
120.75,1.88,40.23,2.02,2
150.54,0.22,5.55,2.48,1
188.52,0.25,27.9,1.84,2
166.95,0.89,15.94,2.63,1
95.32,1.17,28.09,2.37,2
117.34,1.77,39.9,1.47,2
152.4,0.58,48.66,2.13,1
86.88,1.01,42.58,2.75,2
121.26,1.95,33.82,1.56,1
120.99,1.34,36.27,2.97,2
182.24,1.13,20.1,1.74,2
99.47,0.91,40.51,1.28,1
190.39,1.28,36.19,2.04,1
108.68,1.47,47.87,1.8,2
104.64,0.37,49.54,1.85,1
122.95,1.11,11.41,1.99,2
85.27,0.06,13.9,1.51,2
166.26,0.68,29.95,1.52,1
101.13,0.52,9.55,2.7,1
125.47,1.57,9.99,2.89,2
134.74,0.74,21.76,1.51,2
185.41,0.13,11.5,2.86,1
103.0,0.76,21.84,2.28,1
190.52,1.53,31.43,2.74,2
174.75,0.66,7.4,2.63,1
182.18,1.94,44.86,1.58,1
174.16,1.58,32.67,1.5,2
170.16,1.29,27.91,2.1,2
101.48,1.42,28.65,2.07,2
136.85,1.16,33.71,2.62,1
104.86,1.79,25.34,1.62,1
116.72,1.78,30.71,2.88,2
110.54,0.17,38.82,1.73,2
107.62,0.08,28.05,1.81,2
136.11,0.82,41.2,1.77,2
82.97,0.88,16.95,1.34,1
115.34,1.0,29.6,1.34,2
191.19,0.2,8.21,1.27,1
120.05,1.35,16.25,2.54,2
102.88,1.21,11.2,2.74,2
81.02,0.6,42.0,2.61,2
193.5,1.64,39.1,1.22,1
183.86,0.46,37.55,1.58,1
141.9,1.57,39.09,2.5,2
120.88,0.17,43.06,1.97,2
105.15,0.9,30.13,1.87,1
116.67,1.48,27.49,2.39,2
120.78,0.84,35.86,1.93,2
119.13,0.05,40.34,2.86,1
197.27,1.99,30.57,2.64,2
197.62,0.41,22.58,2.16,1
136.97,0.66,48.29,2.35,2
91.19,0.21,29.88,1.26,2
83.22,0.4,46.01,1.89,1
107.96,1.32,8.15,1.3,1
100.62,1.72,23.49,1.48,1
95.5,0.84,38.44,1.9,1
95.59,0.41,24.45,2.48,2
99.05,1.15,18.96,1.57,2
113.05,0.01,11.42,1.32,2
152.58,0.49,19.8,2.22,2
135.22,1.15,38.18,1.72,2
121.61,1.69,40.66,1.9,1
129.81,0.36,32.8,1.98,2
189.3,0.37,30.59,1.91,1
108.76,1.74,17.32,2.33,2
160.0,0.13,37.69,2.82,2
129.35,1.52,10.46,1.86,1
140.53,1.56,23.45,1.5,1
140.73,0.92,8.29,2.45,2
125.74,1.49,43.51,1.91,1
110.07,1.42,11.14,2.41,2
138.17,0.14,29.68,1.64,2
96.83,1.64,42.87,1.51,1
152.84,0.35,10.59,2.53,1
89.31,1.53,35.48,1.48,2
101.35,1.43,45.17,2.16,2
163.61,1.67,41.52,2.35,1
126.87,0.62,7.36,1.21,2
172.05,1.86,21.86,1.63,1
81.92,0.06,5.66,2.68,1
106.47,1.76,40.86,2.69,1
166.88,0.09,28.06,2.67,2
